大学名,URL,カテゴリー,元ファイル
駿河台大学,https://www.surugadai.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
聖学院大学,https://www.seigakuin.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
女子栄養大学,https://www.eiyo.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
東都大学,https://www.tohto.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
日本保健医療大学,https://www.jhsu.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
文教大学,https://www.bunkyo.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
放送大学,https://www.ouj.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
千葉科学大学,https://www.cis.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
愛国学園大学,https://aikoku-u.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
開智国際大学,https://www.kaichi.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
清和大学,http://www.seiwa-univ.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
淑徳大学,https://www.shukutoku.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
中央学院大学,https://www.cgu.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
麗澤大学,https://www.reitaku-u.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
国際武道大学,https://www.budo-u.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
東京情報大学,https://www.tuis.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
東京基督教大学,https://www.tci.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
江戸川大学,https://www.edogawa-u.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
SBC東京医療大学,https://www.sbctmu.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
植草学園大学,https://www.uekusa.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
三育学院大学,https://www.saniku.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
星槎大学,https://www.seisa.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
神奈川大学,https://www.kanagawa-u.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
関東学院大学,https://univ.kanto-gakuin.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
鶴見大学,https://www.tsurumi-u.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
フェリス女学院大学,https://www.ferris.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
横浜商科大学,https://www.shodai.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
八洲学園大学,https://www.yashima.ac.jp/univ/,私立大学,private_universities_saitama_chiba_kanagawa.csv
情報セキュリティ大学院大学,https://www.iisec.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
横浜薬科大学,https://www.hamayaku.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
麻布大学,https://www.azabu-u.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
神奈川歯科大学,https://www.kdu.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
鎌倉女子大学,https://www.kamakura-u.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
湘南工科大学,https://www.shonan-it.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
相模女子大学,https://www.sagami-wu.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
洗足学園音楽大学,https://www.senzoku.ac.jp/music/,私立大学,private_universities_saitama_chiba_kanagawa.csv
聖マリアンナ医科大学,https://www.marianna-u.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
神奈川工科大学,https://www.kait.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
昭和音楽大学,https://www.tosei-showa-music.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
桐蔭横浜大学,https://toin.ac.jp/univ/,私立大学,private_universities_saitama_chiba_kanagawa.csv
東洋英和女学院大学,https://www.toyoeiwa.ac.jp/daigaku/,私立大学,private_universities_saitama_chiba_kanagawa.csv
松蔭大学,https://www.shoin-u.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
田園調布学園大学,https://www.dcu.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
横浜美術大学,https://www.yokohama-art.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
日本映画大学,https://www.eiga.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
横浜創英大学,http://www.soei.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
湘南医療大学,https://sums.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
湘南鎌倉医療大学,https://www.sku.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
ビューティ＆ウェルネス専門職大学,https://www.b-w.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
グローバルBiz専門職大学,https://gpu.ac.jp/,私立大学,private_universities_saitama_chiba_kanagawa.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
,,私立大学,private_universities_tokai_hokuriku.csv
跡見学園女子大学,https://www.atomi.ac.jp/univ/,私立大学,private_universities_tokyo.csv
文京学院大学,https://www.bgu.ac.jp/,私立大学,private_universities_tokyo.csv
目白大学,https://www.mejiro.ac.jp/,私立大学,private_universities_tokyo.csv
東京成徳大学,https://www.tsu.ac.jp/,私立大学,private_universities_tokyo.csv
東洋学園大学,https://www.tyg.jp/,私立大学,private_universities_tokyo.csv
帝京平成大学,https://www.thu.ac.jp/,私立大学,private_universities_tokyo.csv
青山学院大学,https://www.aoyama.ac.jp/,私立大学,private_universities_tokyo.csv
大妻女子大学,https://www.otsuma.ac.jp/,私立大学,private_universities_tokyo.csv
学習院大学,https://www.univ.gakushuin.ac.jp/,私立大学,private_universities_tokyo.csv
北里大学,https://www.kitasato-u.ac.jp/jp/index.html,私立大学,private_universities_tokyo.csv
共立女子大学,https://www.kyoritsu-wu.ac.jp/,私立大学,private_universities_tokyo.csv
慶應義塾大学,https://www.keio.ac.jp/ja/,私立大学,private_universities_tokyo.csv
工学院大学,https://www.kogakuin.ac.jp/,私立大学,private_universities_tokyo.csv
実践女子大学,https://www.jissen.ac.jp/,私立大学,private_universities_tokyo.csv
芝浦工業大学,https://www.shibaura-it.ac.jp/,私立大学,private_universities_tokyo.csv
上智大学,https://www.sophia.ac.jp/jpn/,私立大学,private_universities_tokyo.csv
昭和大学,https://www.showa-u.ac.jp/,私立大学,private_universities_tokyo.csv
女子美術大学,https://www.joshibi.ac.jp/,私立大学,private_universities_tokyo.csv
杉野服飾大学,https://www.sugino-fc.ac.jp/,私立大学,private_universities_tokyo.csv
成城大学,https://www.seijo.ac.jp/,私立大学,private_universities_tokyo.csv
聖心女子大学,https://www.u-sacred-heart.ac.jp/,私立大学,private_universities_tokyo.csv
清泉女子大学,https://www.seisen-u.ac.jp/,私立大学,private_universities_tokyo.csv
聖路加国際大学,https://university.luke.ac.jp/,私立大学,private_universities_tokyo.csv
専修大学,https://www.senshu-u.ac.jp/,私立大学,private_universities_tokyo.csv
大正大学,https://www.tais.ac.jp/,私立大学,private_universities_tokyo.csv
大東文化大学,https://www.daito.ac.jp/,私立大学,private_universities_tokyo.csv
高千穂大学,https://www.takachiho.jp/,私立大学,private_universities_tokyo.csv
拓殖大学,https://www.takushoku-u.ac.jp/,私立大学,private_universities_tokyo.csv
多摩美術大学,https://www.tamabi.ac.jp/index_j.htm,私立大学,private_universities_tokyo.csv
中央大学,https://www.chuo-u.ac.jp/,私立大学,private_universities_tokyo.csv
東海大学,https://www.u-tokai.ac.jp/,私立大学,private_universities_tokyo.csv
東京医科大学,https://www.tokyo-med.ac.jp/,私立大学,private_universities_tokyo.csv
東京家政大学,https://www.tokyo-kasei.ac.jp/,私立大学,private_universities_tokyo.csv
東京家政学院大学,https://www.kasei-gakuin.ac.jp/,私立大学,private_universities_tokyo.csv
東京歯科大学,http://www.ndu.ac.jp/,私立大学,private_universities_tokyo.csv
東京慈恵会医科大学,https://www.jikei.ac.jp/,私立大学,private_universities_tokyo.csv
東京女子大学,https://www.twcu.ac.jp/main/index.html,私立大学,private_universities_tokyo.csv
東京女子医科大学,https://www.twmu.ac.jp/univ/,私立大学,private_universities_tokyo.csv
東京電機大学,https://www.dendai.ac.jp/,私立大学,private_universities_tokyo.csv
東京農業大学,https://www.nodai.ac.jp/,私立大学,private_universities_tokyo.csv
東京薬科大学,https://www.toyaku.ac.jp/,私立大学,private_universities_tokyo.csv
東京理科大学,https://www.tus.ac.jp/,私立大学,private_universities_tokyo.csv
東洋大学,https://www.toyo.ac.jp/,私立大学,private_universities_tokyo.csv
東京音楽大学,https://www.tokyo-ondai.ac.jp/,私立大学,private_universities_tokyo.csv
二松学舎大学,https://www.nishogakusha-u.ac.jp/,私立大学,private_universities_tokyo.csv
日本医科大学,https://www.nms.ac.jp/college/,私立大学,private_universities_tokyo.csv
日本歯科大学,https://www.ndu.ac.jp/,私立大学,private_universities_tokyo.csv
日本社会事業大学,https://www.jcsw.ac.jp/,私立大学,private_universities_tokyo.csv
日本女子大学,https://www.jwu.ac.jp/unv/,私立大学,private_universities_tokyo.csv
日本女子体育大学,https://www.jwcpe.ac.jp/,私立大学,private_universities_tokyo.csv
日本体育大学,https://www.nittai.ac.jp/,私立大学,private_universities_tokyo.csv
ルーテル学院大学,https://www.luther.ac.jp/,私立大学,private_universities_tokyo.csv
法政大学,https://www.hosei.ac.jp/,私立大学,private_universities_tokyo.csv
星薬科大学,https://www.hoshi.ac.jp/site/index.php,私立大学,private_universities_tokyo.csv
武蔵大学,https://www.musashi.ac.jp/,私立大学,private_universities_tokyo.csv
東京都市大学,https://www.tcu.ac.jp/,私立大学,private_universities_tokyo.csv
